year,state,division,total_population,fss,homicide_rate,firearm_homicide_rate,nonfirearm_homicide_rate,firearm_suicides,total_suicides,firearm_homicides,nonfirearm_homicides,total_homicides,white_fss,nonwhite_fss,nextyearfss,nextyearnonwhitefss,nextyearwhitefss
1949,Alabama,East South Central,3004000,0.717948718,14.28095872,7.822902796,6.458055925,140,195,235,194,429,0.708571434,0.482654601,0.688995242,0.807692289,0.672131121
1949,Arizona,Mountain,726000,0.575,5.64738292,3.168044077,2.479338843,46,80,23,18,41,0.583333313,0.800000012,0.589473665,0.625,0.586206913
1949,Arkansas,West South Central,1835000,0.671052632,7.901907357,4.141689373,3.760217984,102,152,76,69,145,0.664335668,0.5,0.644444466,0.75,0.6328125
1949,California,Pacific,10499000,0.382622774,4.61948757,1.857319745,2.762167826,709,1853,195,290,485,0.382187158,0.777777791,0.378732324,0.367647052,0.379141778
1949,Colorado,Mountain,1249000,0.551569507,5.044035228,3.442754203,1.601281025,123,223,43,20,63,0.559633017,0.392405063,0.462686568,0,0.467336684
1949,Connecticut,New England,2006000,0.186440678,1.794616152,0.697906281,1.09670987,44,236,14,22,36,0.188841194,0.200000003,0.254237294,0,0.235294119
1949,Delaware,South Atlantic,319000,0.268292683,7.836990596,5.642633229,2.194357367,11,41,18,7,25,0.25,0,0.43589744,1,0.421052635
1949,District of Columbia,South Atlantic,839000,0.326923077,10.60786651,4.052443385,6.555423123,34,104,34,55,89,0.337209314,0.333333343,0.271739125,0.384615391,0.25316456
1949,Florida,South Atlantic,2679000,0.504249292,11.7581187,5.48712206,6.270996641,178,353,147,168,315,0.513353109,0.277777791,0.518987358,0.578947365,0.515151501
1949,Georgia,South Atlantic,3360000,0.713804714,12.70833333,7.797619048,4.910714286,212,297,262,165,427,0.714814782,0.3125,0.674825191,0.722222209,0.667999983
1949,Idaho,Mountain,572000,0.666666667,2.097902098,1.048951049,1.048951049,40,60,6,6,12,0.666666687,0.703703701,0.600000024,NA,0.600000024
1949,Illinois,East North Central,8626000,0.379344588,4.92696499,2.504057501,2.422907489,382,1007,216,209,425,0.375908613,NA,0.398029566,0.351351351,0.399795502
1949,Indiana,East North Central,3896000,0.460076046,3.157084189,1.719712526,1.437371663,242,526,67,56,123,0.460348159,0.454545438,0.427289039,0.5,0.425688088
1949,Iowa,West North Central,2551000,0.426900585,0.901607213,0.588004704,0.313602509,146,342,15,8,23,0.425219953,0.444444448,0.481707305,1,0.480122328
